‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       105	-0.00403426	-0.01176512	0.00917263	0.00691779	
       106	-0.00049095	-0.00628909	0.00595144	0.00466296	
       107	0.00530720	-0.00983241	0.00337448	-0.00177943	
       108	0.01174958	-0.01015453	0.00305236	-0.00435638	
       109	0.01174958	-0.01530843	-0.00210154	-0.00210154	
       110	0.01207170	-0.01144300	-0.00371214	-0.00339002	
       111	0.01400442	-0.01144300	-0.00564486	-0.00306790	
       112	0.00273024	0.00917263	-0.00983241	-0.00145731	
       113	-0.00339002	0.01658137	-0.01015453	0.00111965	
       114	0.00273024	0.00723991	-0.00854393	-0.00049095	
       115	0.00240812	0.01013899	-0.00854393	-0.00822181	
       116	0.00273024	0.00498508	-0.00628909	-0.00661121	
       117	0.00144177	0.00208601	-0.00339002	-0.00371214	
       118	0.00079753	0.00530720	-0.00145731	-0.00822181	
       119	-0.00822181	0.01658137	0.00337448	-0.01208724	
       120	-0.00951029	0.01013899	0.00337448	-0.00628909	
       121	-0.00886605	0.00756203	0.00498508	-0.00113519	
       122	-0.00661121	0.00595144	0.00981687	0.01271594	
       123	-0.00306790	0.00756203	0.00885051	0.01432654	
       124	-0.00532274	0.00111965	0.01046111	0.01174958	
       125	-0.00242366	-0.00081307	0.00852839	0.00595144	
       126	-0.00532274	-0.00145731	0.00369660	0.00498508	
       127	-0.00500062	-0.01820751	0.00530720	0.00949475	
       128	-0.00693333	-0.00532274	0.00337448	0.00111965	
       129	-0.01434208	0.00047541	0.00047541	0.00079753	
       130	0.00015329	-0.00242366	-0.00500062	0.00144177	
       131	0.01368230	-0.00339002	-0.00725545	-0.00081307	
       132	0.00885051	0.00079753	-0.00983241	-0.00177943	
       133	0.02817766	0.00208601	-0.01047664	-0.00532274	
       134	0.02270164	-0.01176512	-0.01273148	-0.00822181	
       135	0.00659567	-0.03882314	-0.01208724	-0.00113519	
       136	-0.00210154	-0.06362632	-0.01208724	-0.00113519	
       137	-0.02303929	-0.04590976	-0.00886605	0.00240812	
       138	-0.01240936	0.02399011	-0.00500062	0.00047541	
       139	-0.00403426	0.07263012	0.00305236	-0.00371214	
       140	-0.00886605	0.03558641	0.00756203	-0.00306790	
       141	0.00917263	0.03236521	0.00917263	-0.00500062	
       142	0.01336018	0.02076892	0.00917263	-0.00661121	
       143	0.01110534	0.00723991	0.00917263	-0.00306790	
       144	0.00562932	0.00595144	0.00885051	-0.00177943	
       145	-0.00016883	0.00337448	0.00981687	0.00305236	
       146	-0.01563055	0.00176389	0.00788415	0.00369660	
       147	-0.02851532	-0.00274578	0.00562932	0.00627356	
       148	-0.03141439	0.00627356	0.00337448	0.00820627	
       149	-0.00435638	0.00337448	-0.00306790	0.00434084	
       150	-0.00951029	0.01239382	-0.00435638	-0.00403426	
       151	-0.00049095	0.02141316	-0.00564486	-0.00661121	
       152	0.01625925	-0.00596698	-0.01015453	0.00047541	
       153	0.01110534	-0.00951029	-0.00983241	-0.00145731	
       154	0.00820627	-0.01240936	-0.01208724	0.00111965	
       155	0.00562932	-0.01079876	-0.00951029	0.00369660	
       156	0.00401872	-0.01337572	-0.00725545	0.00079753	
       157	0.00208601	-0.01208724	-0.00725545	-0.00339002	
       158	-0.00596698	-0.02175082	-0.00371214	-0.00274578	
       159	-0.00339002	-0.02883744	-0.00016883	-0.00371214	
       160	0.00337448	-0.03882314	0.00337448	-0.00081307	
       161	0.01239382	-0.01852963	0.00691779	-0.00242366	
       162	0.00562932	0.01915833	0.00885051	-0.00403426	
       163	0.01078323	0.04975965	0.00820627	-0.01047664	
       164	0.00498508	0.02109104	0.01110534	-0.01047664	
       165	-0.00435638	0.00981687	0.00627356	-0.00951029	
       166	-0.00403426	0.00917263	0.00659567	-0.00596698	
       167	-0.00918817	0.00852839	0.00466296	-0.00049095	
       168	-0.00596698	-0.01917386	0.00111965	0.00627356	
       169	0.00111965	0.00466296	-0.00242366	0.01078323	
       170	0.02270164	-0.00564486	-0.01112088	0.00401872	
       171	0.00595144	-0.00467850	-0.00500062	0.00015329	
       172	0.00401872	-0.00951029	-0.00789969	-0.00016883	
       173	-0.00081307	-0.00628909	-0.00918817	-0.00145731	
       174	-0.00306790	-0.02014022	-0.00918817	0.00111965	
       175	-0.00016883	-0.02464989	-0.00757757	-0.00274578	
       176	-0.00016883	-0.01756327	-0.00822181	-0.00467850	
       177	-0.00693333	0.01078323	-0.00242366	-0.00306790	
       178	-0.01337572	0.00949475	-0.00274578	0.00047541	
       179	-0.01112088	0.02173528	0.00079753	0.00627356	
       180	-0.00532274	-0.00306790	0.00240812	0.00691779	
       181	-0.00693333	-0.02142870	0.00369660	0.00917263	
       182	-0.00661121	-0.01981810	0.01013899	0.00949475	
       183	-0.00725545	-0.01852963	0.00627356	0.00627356	
       184	-0.01144300	-0.00886605	0.00885051	0.00723991	
       185	-0.00789969	0.03011038	0.00659567	0.00788415	
       186	-0.00242366	0.04170667	0.00949475	0.00852839	
       187	0.00047541	0.03880760	0.00530720	0.00369660	
       188	0.00401872	0.00885051	0.00273024	-0.00177943	
       189	0.01271594	-0.00435638	-0.00242366	-0.00242366	
       190	0.01497078	-0.00306790	-0.00435638	-0.00274578	
       191	0.02044680	-0.00371214	-0.00596698	-0.00661121	
       192	0.00788415	0.00111965	-0.00789969	-0.00467850	
       193	-0.00145731	0.00401872	-0.00918817	-0.00145731	
       194	0.00788415	-0.00242366	-0.01337572	0.00369660	
       195	0.02334588	-0.00628909	-0.01015453	0.00659567	
       196	0.02656707	-0.00725545	-0.01015453	0.00466296	
       197	0.02527859	-0.00628909	-0.00532274	0.00111965	
       198	0.01529289	-0.01337572	-0.00403426	0.00015329	
       199	-0.00177943	-0.01273148	0.00176389	0.00401872	
       200	-0.02046234	0.00111965	0.00015329	0.00015329	
       201	-0.03109228	0.00498508	0.00627356	-0.00435638	
       202	-0.01820751	0.00111965	0.00917263	-0.00532274	
       203	-0.01691903	-0.00049095	0.00981687	-0.00596698	
       204	-0.01949598	-0.00371214	0.00852839	-0.00725545	
