‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
         0	-0.01273148	0.02334588	0.00885051	-0.00339002	
         0	-0.00081307	0.01046111	0.00691779	0.00047541	
         1	0.00176389	0.00208601	0.00240812	0.00691779	
         2	0.00240812	-0.00628909	0.00305236	0.00595144	
         3	0.00176389	-0.00596698	-0.00339002	0.00240812	
         4	0.00466296	-0.01273148	-0.00306790	0.00176389	
         5	0.00562932	-0.02175082	-0.00628909	-0.00016883	
         6	0.00273024	-0.02271718	-0.00661121	0.00047541	
         7	0.00047541	-0.02078446	-0.00628909	0.00079753	
         8	0.00111965	-0.02400565	-0.00951029	-0.00403426	
         9	0.00176389	-0.00983241	-0.00596698	0.00208601	
        10	0.00240812	0.01078323	-0.00628909	-0.00145731	
        11	-0.00242366	0.02656707	-0.00886605	-0.00306790	
        13	-0.00564486	0.03268733	-0.00242366	0.00047541	
        14	0.00144177	0.01271594	0.00208601	-0.00306790	
        15	0.00562932	-0.00177943	0.00401872	-0.00371214	
        16	0.00723991	0.00079753	0.00788415	-0.00274578	
        16	0.00820627	0.00015329	0.00627356	-0.00467850	
        17	0.01271594	0.00369660	0.01013899	-0.00081307	
        19	0.01819197	0.00981687	0.01400442	0.00562932	
        20	0.01915833	0.00273024	0.01271594	0.00820627	
        21	0.01142746	-0.00983241	0.00434084	0.00562932	
        21	0.01142746	-0.01176512	0.00434084	0.00369660	
        23	0.00401872	0.00434084	0.00176389	0.00111965	
        24	0.00466296	-0.00596698	0.00240812	0.00079753	
        25	-0.02207294	-0.00500062	-0.00403426	0.00047541	
        26	-0.02980380	-0.00564486	-0.00725545	0.00111965	
        27	-0.00339002	-0.00274578	-0.00886605	0.00015329	
        28	-0.02561625	-0.01498631	-0.00951029	-0.00274578	
        29	-0.02626049	-0.01917386	-0.01401996	-0.00500062	
        30	-0.01401996	-0.02110658	-0.01401996	-0.00886605	
        31	-0.00177943	-0.00822181	-0.01240936	-0.00306790	
        32	0.00498508	-0.00371214	-0.00789969	0.00401872	
        33	0.00852839	-0.00951029	-0.00564486	0.00176389	
        34	0.00949475	0.00047541	0.00144177	0.00240812	
        35	0.00788415	0.04009608	0.00498508	-0.00113519	
        36	0.01303806	0.04428363	0.00562932	-0.00532274	
        37	0.00530720	0.00530720	0.00595144	-0.00177943	
        38	0.00917263	0.00401872	0.00917263	-0.00145731	
        39	0.00369660	0.00530720	0.01142746	-0.00177943	
        40	-0.01273148	0.00756203	0.00852839	-0.00403426	
        41	-0.00500062	-0.01466419	0.00659567	-0.00467850	
        42	-0.02046234	-0.01788539	0.00498508	-0.00210154	
        43	-0.01885174	0.00756203	0.00208601	0.00240812	
        44	-0.01240936	0.00917263	-0.00049095	0.00079753	
        45	-0.00403426	-0.01015453	-0.00177943	0.00176389	
        46	-0.00467850	-0.00918817	-0.00725545	0.00111965	
        47	-0.00596698	0.00401872	-0.00854393	0.00401872	
        48	-0.01015453	0.01497078	-0.01208724	0.00176389	
        49	-0.01176512	0.01110534	-0.01176512	0.00208601	
        50	0.00885051	0.00530720	-0.00725545	0.00498508	
        51	0.01013899	-0.00564486	-0.00532274	0.00401872	
        52	0.00659567	-0.01176512	-0.00532274	0.00627356	
        53	0.00852839	-0.01240936	-0.00145731	-0.00016883	
        54	0.00788415	-0.01144300	0.00273024	-0.00210154	
        55	0.01142746	-0.01820751	0.00305236	-0.00564486	
        56	0.00756203	-0.01208724	0.00659567	-0.00339002	
        57	0.00562932	0.00562932	0.01013899	-0.00049095	
        58	0.00852839	0.02302376	0.01174958	-0.00306790	
        59	0.00627356	0.01174958	0.01142746	-0.00274578	
        60	0.00595144	-0.00049095	0.01142746	-0.00564486	
        61	-0.00049095	-0.02046234	0.00498508	-0.00822181	
        62	-0.00435638	-0.03560194	-0.00049095	-0.00725545	
        63	-0.01498631	-0.01981810	-0.00371214	0.00885051	
        64	-0.03173651	-0.00951029	-0.00725545	0.01336018	
        65	-0.02432777	-0.00564486	-0.00854393	0.01593713	
        66	-0.02593837	-0.00628909	-0.00886605	0.01529289	
        67	0.02302376	-0.00500062	-0.00757757	0.00337448	
        68	0.01593713	-0.00435638	-0.01273148	0.00015329	
        69	0.00627356	-0.00177943	-0.01401996	-0.00306790	
        70	-0.00435638	-0.00113519	-0.01434208	-0.00693333	
        71	0.00079753	0.00434084	-0.00725545	-0.00274578	
        72	-0.00145731	-0.00661121	-0.00500062	-0.00371214	
        73	0.00369660	-0.00854393	-0.00016883	-0.00113519	
        74	0.01142746	-0.01724115	0.00337448	-0.00274578	
        75	0.01529289	-0.01144300	0.00240812	-0.00145731	
        76	0.00820627	-0.01079876	0.00917263	-0.00467850	
        77	-0.00403426	0.00723991	0.00885051	-0.00500062	
        78	-0.00596698	0.02656707	0.00917263	-0.00500062	
        79	-0.01563055	0.02270164	0.01142746	-0.00435638	
        80	-0.02271718	0.02109104	0.00852839	-0.00306790	
        81	-0.00854393	0.03623065	0.00756203	-0.00274578	
        82	0.00917263	0.03011038	0.00530720	-0.00822181	
        83	0.00981687	0.00273024	0.00305236	-0.00661121	
        84	0.01464866	-0.00983241	-0.00435638	-0.00467850	
        85	0.00627356	-0.01885174	-0.00628909	0.00015329	
        86	0.00466296	-0.03109228	-0.00983241	0.01400442	
        87	0.00369660	-0.02432777	-0.00983241	0.01110534	
        88	0.00627356	-0.01144300	-0.01208724	0.00788415	
        89	-0.00500062	-0.00049095	-0.01691903	-0.00113519	
        90	-0.01401996	0.01271594	-0.00661121	0.00079753	
        91	-0.00918817	0.00659567	-0.01079876	-0.00016883	
        92	-0.00467850	-0.00242366	-0.00822181	0.00208601	
        93	-0.00661121	-0.00435638	-0.00016883	0.00015329	
        94	-0.00983241	-0.00435638	0.00305236	0.00240812	
        95	0.00111965	-0.00693333	0.00723991	0.00337448	
        96	0.01110534	0.01464866	0.00917263	0.00337448	
        97	0.01561501	0.04686058	0.00981687	-0.00177943	
