‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
         0	-0.02239506	-0.01112088	-0.00532274	-0.00016883	
         0	-0.03270287	0.00723991	-0.00822181	0.00498508	
         1	-0.04043373	0.01110534	-0.00951029	-0.00145731	
         2	-0.02948168	0.01013899	-0.00886605	-0.00339002	
         3	-0.01079876	-0.01144300	-0.01144300	-0.00274578	
         4	-0.01112088	-0.00661121	-0.01112088	-0.00210154	
         5	-0.01530843	-0.00371214	-0.01015453	-0.00081307	
         6	0.02495647	-0.00403426	-0.00596698	-0.00016883	
         7	0.00820627	-0.00242366	-0.00306790	0.00273024	
         8	0.02882190	-0.00435638	0.00176389	0.00337448	
         9	0.03848548	-0.02207294	0.00305236	0.00176389	
        10	0.03655277	-0.02497201	0.00337448	-0.00081307	
        11	0.02270164	-0.00371214	0.00949475	-0.00210154	
        12	0.01625925	0.01754773	0.01303806	0.00240812	
        13	0.02205740	0.01722561	0.01142746	0.00273024	
        14	0.02656707	0.03977396	0.00949475	0.00176389	
        15	0.02882190	0.02431223	0.00885051	-0.00403426	
        16	0.01754773	0.00788415	0.00627356	-0.00564486	
        17	-0.01208724	0.01432654	0.00498508	-0.00693333	
        18	-0.01788539	0.00788415	-0.00016883	-0.01047664	
        19	-0.00693333	-0.01079876	-0.00435638	-0.01627479	
        20	0.01013899	-0.02046234	-0.01015453	-0.01273148	
        21	-0.00339002	-0.01852963	-0.01369784	-0.00145731	
        22	-0.01981810	-0.00725545	-0.01176512	0.00498508	
        23	-0.02271718	-0.01208724	-0.01305360	0.01110534	
        24	-0.02400565	-0.00306790	-0.01208724	0.00788415	
        25	0.00079753	-0.01756327	-0.01015453	0.00659567	
        26	0.00208601	-0.01015453	-0.00564486	0.00917263	
        27	0.00691779	-0.01434208	-0.00306790	0.01303806	
        28	0.03011038	-0.01917386	0.00144177	0.00756203	
        29	0.02978826	-0.03721254	0.00562932	0.01078323	
        30	0.01819197	-0.03978949	0.00981687	0.01239382	
        31	0.01851409	-0.02980380	0.01046111	0.00723991	
        32	0.00176389	-0.03463559	0.01239382	0.00079753	
        33	-0.00822181	-0.02497201	0.01078323	-0.00564486	
        34	-0.02722684	0.03172098	0.00981687	-0.01208724	
        35	-0.00854393	0.03429793	0.00820627	-0.00854393	
        36	-0.00274578	0.06103383	0.00530720	-0.00371214	
        37	0.00949475	0.04041820	0.00111965	0.00015329	
        38	0.01336018	0.01336018	-0.00500062	0.00144177	
        39	0.01013899	0.01078323	-0.00596698	-0.00049095	
        40	0.00562932	0.01207170	-0.00822181	-0.00564486	
        41	-0.00371214	0.00756203	-0.01144300	-0.00500062	
        42	-0.00467850	0.00562932	-0.01208724	-0.00242366	
        43	0.00401872	0.00305236	-0.01305360	0.00627356	
        44	0.01078323	-0.00983241	-0.01176512	0.01013899	
        45	-0.00467850	-0.00951029	-0.00951029	0.00949475	
        46	-0.01627479	-0.00403426	-0.00661121	0.00691779	
        48	-0.00532274	-0.00403426	-0.00306790	0.00079753	
        48	-0.00274578	-0.01112088	0.00144177	-0.00532274	
        49	0.00144177	-0.01724115	0.00466296	0.00015329	
        50	-0.00306790	-0.01369784	0.00530720	0.00047541	
        51	-0.01401996	-0.00757757	0.01046111	-0.00145731	
        52	-0.02110658	-0.00628909	0.00981687	-0.00435638	
        53	-0.02432777	-0.00918817	0.01078323	-0.00693333	
        54	-0.00661121	-0.00628909	0.01239382	-0.00725545	
        55	-0.02142870	-0.00049095	0.00562932	-0.00435638	
        56	-0.03753466	0.00144177	0.00273024	-0.00757757	
        57	-0.02915956	0.00820627	0.00144177	-0.00532274	
        58	-0.01724115	0.00756203	-0.00016883	-0.00177943	
        59	-0.01079876	0.00273024	-0.00274578	-0.00757757	
        60	-0.00242366	-0.00854393	-0.00789969	-0.00274578	
        61	-0.00113519	-0.01691903	-0.00854393	-0.00081307	
        63	0.00595144	-0.02142870	-0.01273148	-0.00371214	
        63	0.00723991	-0.02207294	-0.01337572	-0.00339002	
        64	0.01368230	-0.01949598	-0.01305360	-0.00177943	
        65	0.01497078	-0.01466419	-0.00886605	-0.00081307	
